Order ID,Order Date,Region,Segment,Category,Sales,Profit,Quantity,Discount,Shipping Mode
ORD-1036,12/18/2023,West,Corporate,Furniture,1831.41,487.91,9,0,Same Day
ORD-1037,12/8/2023,South,Home Office,Office Supplies,1423.8,297.45,8,0.3,Second Class
ORD-1038,2/8/2023,South,Consumer,Technology,834.23,123.6,7,0.1,Second Class
ORD-1039,3/22/2023,West,Consumer,Technology,1235.42,420.1,4,0.1,Same Day
ORD-1040,3/7/2023,Central,Consumer,Technology,671.25,122.58,5,0,First Class
ORD-1041,5/5/2023,South,Corporate,Technology,986.41,299.25,10,0.3,Second Class
ORD-1042,6/24/2023,South,Consumer,Furniture,541.25,66.66,8,0.2,Same Day
ORD-1043,11/9/2023,East,Home Office,Office Supplies,1604.05,469.83,8,0,Same Day
ORD-1044,1/16/2023,West,Home Office,Furniture,123.95,33.73,10,0,Standard Class
ORD-1045,7/26/2023,Central,Home Office,Technology,1476.77,491.13,9,0.3,Standard Class
ORD-1046,5/2/2023,West,Home Office,Office Supplies,144.76,34.67,10,0.1,Standard Class
ORD-1047,10/9/2023,Central,Consumer,Furniture,1894.82,260.51,7,0,Second Class
ORD-1048,7/29/2023,West,Consumer,Furniture,1177.63,361.77,2,0.1,Standard Class
ORD-1049,3/17/2023,West,Consumer,Technology,961.13,131.84,6,0,Second Class
ORD-1050,12/8/2023,East,Consumer,Furniture,634.43,148.07,6,0.3,Second Class
ORD-1051,9/10/2023,South,Home Office,Furniture,400.74,33.31,10,0.1,Second Class
ORD-1052,8/18/2023,West,Home Office,Office Supplies,441.02,125.42,6,0.1,First Class
ORD-1053,8/21/2023,Central,Consumer,Technology,221.2,73.98,5,0.1,Second Class
ORD-1054,6/25/2023,Central,Corporate,Technology,1958.73,539.65,3,0.3,Standard Class
ORD-1055,7/3/2023,Central,Corporate,Office Supplies,595.14,89.89,6,0.3,Second Class
ORD-1056,3/22/2023,South,Corporate,Office Supplies,697.47,143.07,3,0.2,Second Class
ORD-1057,1/30/2023,West,Consumer,Office Supplies,1558.33,305.82,5,0.3,Second Class
ORD-1058,1/30/2023,South,Consumer,Office Supplies,1708.09,362.11,8,0.1,First Class
ORD-1059,12/3/2023,Central,Home Office,Office Supplies,1601.23,483.94,9,0,Second Class
ORD-1060,6/23/2023,West,Corporate,Furniture,1163.76,153.33,7,0,Same Day
ORD-1061,11/13/2023,South,Consumer,Office Supplies,142.14,7.6,8,0.1,Second Class
ORD-1062,1/11/2023,West,Home Office,Furniture,1464.05,247.04,2,0.2,Same Day
ORD-1063,3/25/2023,Central,Consumer,Technology,802.85,262.52,4,0.1,First Class
ORD-1064,1/5/2023,South,Home Office,Office Supplies,925.19,166.61,7,0,First Class
ORD-1065,2/8/2023,South,Consumer,Office Supplies,1265.46,330.97,7,0.2,Same Day
ORD-1066,8/10/2023,East,Consumer,Office Supplies,1911.51,117.06,9,0.2,First Class
ORD-1067,8/30/2023,East,Consumer,Furniture,1708.02,194.21,8,0,First Class
ORD-1068,6/18/2023,West,Consumer,Technology,1100.55,312.46,4,0.3,Standard Class
ORD-1069,1/18/2023,East,Consumer,Furniture,1845.23,583.75,1,0.3,Second Class
ORD-1070,12/19/2023,West,Corporate,Office Supplies,928.31,239.03,6,0.3,First Class
ORD-1071,2/23/2023,Central,Corporate,Office Supplies,1991.51,593.91,3,0,Same Day
ORD-1072,6/18/2023,South,Corporate,Office Supplies,1067.63,175.39,4,0,First Class
ORD-1073,4/3/2023,South,Home Office,Furniture,1690.6,496.89,3,0.1,Same Day
ORD-1074,12/20/2023,South,Consumer,Office Supplies,1529.6,356.64,10,0.1,Second Class
ORD-1075,5/4/2023,West,Consumer,Furniture,1250.83,176.96,10,0,Second Class
ORD-1076,3/29/2023,East,Home Office,Furniture,1011.29,308.27,1,0.1,Second Class
ORD-1077,7/29/2023,West,Consumer,Furniture,1142.04,266.36,4,0.3,Standard Class
ORD-1078,9/7/2023,West,Corporate,Office Supplies,268.89,81.53,5,0.3,Standard Class
ORD-1079,12/10/2023,South,Home Office,Office Supplies,159.03,30.56,10,0.2,First Class
ORD-1080,10/18/2023,East,Consumer,Office Supplies,1084.14,164.72,6,0.1,Standard Class
ORD-1081,8/23/2023,West,Corporate,Technology,1581.42,317.44,7,0.3,Second Class
ORD-1082,12/15/2023,West,Consumer,Furniture,1393.49,171.95,10,0.3,First Class
ORD-1083,10/21/2023,Central,Home Office,Office Supplies,1079.64,339.12,7,0.2,Standard Class
ORD-1084,3/17/2023,East,Corporate,Technology,1412.54,301.54,1,0.2,Second Class
ORD-1085,4/24/2023,East,Consumer,Furniture,269.47,43.68,4,0.2,Standard Class
ORD-1086,9/24/2023,Central,Corporate,Office Supplies,1380.29,253.45,10,0.2,Standard Class
ORD-1087,9/29/2023,East,Corporate,Furniture,1732.14,341.25,5,0,First Class
ORD-1088,11/27/2023,South,Corporate,Furniture,1761.45,607.1,6,0.2,Second Class
ORD-1089,2/5/2023,East,Corporate,Office Supplies,544.03,65.22,9,0.1,First Class
ORD-1090,8/30/2023,West,Corporate,Furniture,1949.88,594.11,7,0.3,Second Class
ORD-1091,5/1/2023,West,Corporate,Technology,1634.21,295.62,2,0.2,Second Class
ORD-1092,1/13/2023,West,Home Office,Furniture,1338.15,163.71,5,0.3,Standard Class
ORD-1093,3/14/2023,South,Home Office,Furniture,545.11,120.78,6,0.2,Same Day
ORD-1094,10/26/2023,Central,Home Office,Office Supplies,839.63,70.61,3,0.1,First Class
ORD-1095,2/11/2023,East,Consumer,Office Supplies,319.32,23.23,9,0.1,Same Day
ORD-1096,2/16/2023,South,Corporate,Furniture,511.72,61.95,2,0,Same Day
ORD-1097,1/17/2023,East,Consumer,Office Supplies,1415.03,433.04,6,0.3,Standard Class
ORD-1098,9/27/2023,East,Home Office,Technology,1424.56,199.15,3,0,Same Day
ORD-1099,9/25/2023,Central,Home Office,Furniture,1045.7,208.33,1,0.2,First Class
ORD-1100,12/28/2023,East,Consumer,Technology,1782.56,583.75,6,0.1,Second Class
ORD-1101,2/13/2023,East,Corporate,Furniture,414.87,48.82,2,0.3,First Class
ORD-1102,4/29/2023,Central,Consumer,Technology,745.41,230.46,5,0.1,Same Day
ORD-1103,11/6/2023,West,Home Office,Office Supplies,174.15,54.17,7,0.2,Second Class
ORD-1104,10/21/2023,South,Corporate,Furniture,354.1,82.96,9,0,First Class
ORD-1105,1/16/2023,Central,Consumer,Furniture,713.92,172.1,10,0,Standard Class
ORD-1106,12/30/2023,West,Consumer,Technology,1652.59,271.64,8,0.3,Standard Class
ORD-1107,8/24/2023,South,Home Office,Furniture,629.63,164.95,7,0.2,Second Class
ORD-1108,5/7/2023,Central,Consumer,Office Supplies,522.89,178.64,7,0.2,First Class
ORD-1109,2/25/2023,Central,Corporate,Furniture,1236.49,189.03,9,0,Same Day
ORD-1110,3/3/2023,West,Corporate,Technology,932.53,106.59,4,0,Second Class
ORD-1111,6/18/2023,East,Corporate,Office Supplies,1375.56,351.57,2,0.2,Second Class
ORD-1112,12/12/2023,Central,Corporate,Technology,617.48,108.91,10,0.2,First Class
ORD-1113,10/21/2023,South,Home Office,Technology,1746.76,424.29,8,0.2,Same Day
ORD-1114,4/5/2023,Central,Home Office,Furniture,681.95,153.43,1,0.3,Same Day
ORD-1115,10/20/2023,East,Home Office,Furniture,515.58,96.34,4,0.3,First Class
ORD-1116,3/2/2023,Central,Corporate,Technology,1786.37,115.85,8,0.2,Second Class
ORD-1117,4/19/2023,Central,Consumer,Office Supplies,1845.43,321.38,3,0.1,First Class
ORD-1118,7/11/2023,East,Home Office,Office Supplies,1075.84,320.65,3,0,Second Class
ORD-1119,4/24/2023,West,Home Office,Office Supplies,319.98,19.21,10,0,First Class
ORD-1120,8/24/2023,West,Consumer,Furniture,656.68,92.35,9,0.1,Same Day
ORD-1121,11/3/2023,West,Corporate,Office Supplies,539.28,77.98,7,0,Standard Class
ORD-1122,12/9/2023,East,Home Office,Office Supplies,580.14,181.24,3,0.1,Standard Class
ORD-1123,4/4/2023,Central,Corporate,Furniture,1465.75,282.33,3,0.3,Standard Class
ORD-1124,9/19/2023,Central,Corporate,Technology,1917.81,220.77,3,0,Standard Class
ORD-1125,9/20/2023,East,Home Office,Furniture,850.3,100.84,2,0.1,Second Class
ORD-1126,11/2/2023,West,Consumer,Technology,294.75,51.75,8,0.2,Standard Class
ORD-1127,3/18/2023,Central,Corporate,Furniture,124.75,22.88,2,0.1,Standard Class
ORD-1128,10/13/2023,South,Corporate,Technology,793.51,163.6,5,0,Second Class
ORD-1129,11/7/2023,West,Corporate,Furniture,571.54,143.14,4,0.1,Standard Class
ORD-1130,2/17/2023,West,Home Office,Office Supplies,954.05,275.26,3,0.1,Standard Class
ORD-1131,7/18/2023,Central,Consumer,Office Supplies,204.9,22.49,10,0.2,Standard Class
ORD-1132,10/6/2023,Central,Consumer,Technology,385.08,50.28,9,0.2,Standard Class
ORD-1133,12/26/2023,South,Consumer,Furniture,1049.88,90.4,9,0.2,Second Class
ORD-1134,2/10/2023,Central,Home Office,Furniture,221.97,49.03,7,0.1,First Class
ORD-1135,9/18/2023,South,Consumer,Technology,1888.43,308.28,6,0.2,Same Day
ORD-1136,8/23/2023,West,Corporate,Technology,1901.11,459.6,9,0.1,Same Day
ORD-1137,6/26/2023,South,Home Office,Office Supplies,288.5,37.23,7,0,Second Class
ORD-1138,3/16/2023,East,Home Office,Furniture,1753.78,319.13,1,0.2,Standard Class
ORD-1139,6/6/2023,South,Consumer,Furniture,890.29,134.85,4,0.3,First Class
ORD-1140,4/30/2023,South,Corporate,Office Supplies,602.18,183.96,1,0.3,Same Day
ORD-1141,4/25/2023,West,Corporate,Technology,162.67,47.56,1,0,First Class
ORD-1142,11/20/2023,West,Consumer,Office Supplies,528.3,132.67,1,0,Same Day
ORD-1143,7/19/2023,West,Home Office,Office Supplies,1882.52,422.31,10,0.3,Standard Class
ORD-1144,12/18/2023,South,Home Office,Technology,925.27,251.65,7,0,Standard Class
ORD-1145,10/26/2023,West,Consumer,Furniture,1579.11,328.59,10,0.3,Same Day
ORD-1146,9/21/2023,Central,Corporate,Furniture,572.89,193.94,2,0.2,First Class
ORD-1147,2/27/2023,South,Consumer,Technology,1597.41,339.44,8,0.2,Standard Class
ORD-1148,3/3/2023,East,Home Office,Furniture,1690.7,114.66,10,0.3,First Class
ORD-1149,3/1/2023,South,Corporate,Office Supplies,804.57,180.56,5,0.3,Standard Class
ORD-1150,1/27/2023,Central,Corporate,Technology,666.61,77.14,6,0,Same Day
ORD-1151,10/29/2023,South,Home Office,Furniture,1006.84,326.03,3,0.1,Standard Class
ORD-1152,9/10/2023,East,Home Office,Furniture,1905.77,374.07,8,0.1,Same Day
ORD-1153,9/21/2023,South,Home Office,Technology,1437.99,303.59,6,0.1,Second Class
ORD-1154,6/23/2023,West,Home Office,Office Supplies,1522.66,293.74,7,0.3,Second Class
ORD-1155,8/30/2023,South,Consumer,Office Supplies,1435.03,499.13,10,0.2,Second Class
ORD-1156,4/14/2023,Central,Home Office,Office Supplies,1812.66,295.03,9,0,Same Day
ORD-1157,11/21/2023,East,Consumer,Technology,455.28,138.27,3,0.2,Standard Class
ORD-1158,10/30/2023,South,Corporate,Office Supplies,1394.16,402.52,1,0.3,First Class
ORD-1159,4/28/2023,East,Consumer,Office Supplies,976.09,259.66,1,0.1,Second Class
ORD-1160,8/23/2023,East,Consumer,Technology,973.56,165.09,4,0,Same Day
ORD-1161,11/3/2023,West,Corporate,Office Supplies,1435.32,213.9,7,0.1,Standard Class
ORD-1162,12/26/2023,East,Corporate,Technology,1912.14,654.92,2,0.1,Second Class
ORD-1163,6/4/2023,Central,Home Office,Furniture,862.72,167.34,8,0,Same Day
ORD-1164,5/25/2023,Central,Home Office,Technology,1879.69,376.57,1,0,Same Day
ORD-1165,6/7/2023,West,Home Office,Office Supplies,568.29,40.49,6,0.2,Same Day
ORD-1166,4/5/2023,South,Home Office,Office Supplies,274.32,90.43,1,0,Standard Class
ORD-1167,2/16/2023,South,Corporate,Technology,1969.91,604.07,3,0.2,Standard Class
ORD-1168,8/2/2023,Central,Home Office,Office Supplies,621.23,88.77,8,0.1,Same Day
ORD-1169,10/12/2023,West,Consumer,Technology,341.08,77.44,10,0.2,Second Class
ORD-1170,11/28/2023,South,Home Office,Office Supplies,1904.71,472.17,10,0,Second Class
ORD-1171,11/3/2023,West,Corporate,Furniture,943.94,107.14,7,0,Second Class
ORD-1172,11/25/2023,West,Corporate,Furniture,397.69,80.9,5,0.1,Standard Class
ORD-1173,7/14/2023,Central,Consumer,Furniture,656.85,55.94,6,0.3,First Class
ORD-1174,5/6/2023,East,Home Office,Technology,753.15,233.34,3,0.1,Second Class
ORD-1175,7/12/2023,East,Home Office,Furniture,972.98,248.66,2,0.1,Standard Class
ORD-1176,8/11/2023,Central,Corporate,Furniture,298.38,75.87,8,0.2,Second Class
ORD-1177,2/13/2023,South,Corporate,Furniture,1568.23,353.36,4,0.2,Same Day
ORD-1178,8/20/2023,East,Home Office,Office Supplies,1248.67,274.95,5,0,Standard Class
ORD-1179,7/29/2023,West,Corporate,Technology,121.02,38.3,10,0.1,Same Day
ORD-1180,1/30/2023,Central,Corporate,Furniture,1688.29,194.58,5,0,Standard Class
ORD-1181,4/15/2023,South,Home Office,Office Supplies,1365.14,293.06,8,0.3,Same Day
ORD-1182,2/27/2023,Central,Consumer,Technology,613.53,53.29,10,0.1,Standard Class
ORD-1183,2/9/2023,Central,Home Office,Furniture,1473.26,225.69,8,0,Standard Class
ORD-1184,5/26/2023,East,Consumer,Office Supplies,921.34,68.74,5,0.3,Standard Class
ORD-1185,5/4/2023,South,Corporate,Office Supplies,723.51,69.25,9,0,Standard Class
ORD-1186,6/16/2023,East,Home Office,Furniture,153.54,38.5,2,0.3,Second Class
ORD-1187,9/19/2023,East,Corporate,Furniture,224.99,26.67,5,0.1,Standard Class
ORD-1188,3/20/2023,South,Consumer,Furniture,1722.53,224.04,4,0.2,Standard Class
ORD-1189,4/1/2023,West,Consumer,Technology,1074.59,130.31,5,0.1,Standard Class
ORD-1190,2/14/2023,East,Corporate,Office Supplies,1071.46,325.53,5,0,First Class
ORD-1191,1/19/2023,West,Home Office,Furniture,268.28,93.7,3,0,Standard Class
ORD-1192,2/28/2023,West,Corporate,Furniture,1795.32,497.06,1,0.1,Standard Class
ORD-1193,5/2/2023,Central,Home Office,Technology,1767.45,289.65,1,0.3,Second Class
ORD-1194,8/26/2023,West,Consumer,Furniture,440.08,72.15,10,0,First Class
ORD-1195,3/19/2023,Central,Corporate,Furniture,953.86,171,3,0.3,First Class
ORD-1196,2/28/2023,West,Home Office,Technology,1638.52,438.43,4,0.1,Standard Class
ORD-1197,9/24/2023,Central,Corporate,Furniture,1457.13,83.41,10,0.2,Same Day
ORD-1198,10/20/2023,Central,Home Office,Office Supplies,1249.43,252.08,1,0,Second Class
ORD-1199,9/24/2023,West,Home Office,Office Supplies,1022,299.01,3,0,First Class
ORD-1200,10/15/2023,Central,Home Office,Office Supplies,360.2,46.31,5,0.1,First Class
ORD-1201,7/23/2023,East,Home Office,Technology,1088.19,66.33,2,0.3,First Class
ORD-1202,9/2/2023,Central,Home Office,Office Supplies,1903.23,431.82,7,0,First Class
ORD-1203,1/11/2023,East,Consumer,Furniture,539.2,99.67,8,0,Same Day
ORD-1204,8/15/2023,Central,Home Office,Office Supplies,137.39,36.9,10,0,Second Class
ORD-1205,10/25/2023,South,Consumer,Furniture,188.86,36.74,9,0.1,Standard Class
ORD-1206,8/5/2023,East,Consumer,Technology,966.1,232.85,9,0,Same Day
ORD-1207,6/2/2023,East,Consumer,Office Supplies,1186.18,87.77,10,0.3,Same Day
ORD-1208,3/7/2023,East,Corporate,Office Supplies,1127.7,101.03,8,0.2,Second Class
ORD-1209,10/24/2023,South,Consumer,Furniture,1515.56,498.48,3,0,Same Day
ORD-1210,12/5/2023,East,Consumer,Furniture,1977.96,383.37,1,0.3,Second Class
ORD-1211,9/7/2023,West,Home Office,Furniture,1173.06,152.2,9,0,First Class
ORD-1212,4/4/2023,Central,Corporate,Furniture,1698.36,249.62,1,0,Second Class
ORD-1213,4/17/2023,East,Corporate,Technology,1842.16,298.07,4,0.1,Standard Class
ORD-1214,6/16/2023,West,Corporate,Technology,543.12,113.18,1,0,Same Day
ORD-1215,2/6/2023,Central,Consumer,Furniture,786.66,87.17,1,0,Same Day
ORD-1216,2/11/2023,Central,Corporate,Technology,1068.21,371.41,7,0.3,Same Day
ORD-1217,12/26/2023,East,Home Office,Office Supplies,342.01,64.61,10,0,Same Day
ORD-1218,12/2/2023,East,Consumer,Furniture,577.84,140.17,3,0,Standard Class
ORD-1219,5/11/2023,Central,Consumer,Technology,378.63,40.29,4,0.1,First Class
ORD-1220,11/12/2023,East,Consumer,Office Supplies,973.92,281.61,7,0,First Class
ORD-1221,9/29/2023,South,Corporate,Furniture,1528.55,380.93,5,0.2,First Class
ORD-1222,12/18/2023,South,Consumer,Technology,254.4,22.89,4,0.1,Second Class
ORD-1223,1/13/2023,West,Consumer,Furniture,1455.08,242.73,1,0.3,First Class
ORD-1224,5/4/2023,West,Corporate,Office Supplies,854.21,287.09,8,0.2,First Class
ORD-1225,3/25/2023,South,Home Office,Technology,1669.68,487.9,2,0.3,First Class
ORD-1226,7/14/2023,West,Consumer,Office Supplies,1717.91,499.7,1,0.1,Same Day
ORD-1227,3/1/2023,Central,Home Office,Technology,373.29,95.58,7,0.2,Standard Class
ORD-1228,2/5/2023,West,Home Office,Technology,1581.35,337.7,7,0,First Class
ORD-1229,7/19/2023,South,Corporate,Technology,117.35,21.86,6,0.2,First Class
ORD-1230,1/20/2023,West,Consumer,Furniture,1954.08,252.84,5,0.1,Same Day
ORD-1231,5/17/2023,West,Corporate,Technology,1258.65,156.26,6,0.1,Second Class
ORD-1232,4/18/2023,West,Consumer,Office Supplies,449.35,65.37,9,0.1,First Class
ORD-1233,10/7/2023,East,Corporate,Furniture,1492.77,464.88,8,0.2,Second Class
ORD-1234,11/7/2023,East,Consumer,Office Supplies,522.49,179.86,3,0.3,Standard Class
ORD-1235,12/4/2023,South,Home Office,Furniture,944.48,306.62,8,0.1,First Class
ORD-1236,11/29/2023,Central,Corporate,Office Supplies,1327.75,213.38,2,0,Same Day
ORD-1237,9/17/2023,West,Consumer,Office Supplies,1170.56,80.59,2,0.2,First Class
ORD-1238,8/7/2023,West,Corporate,Technology,1380.29,295.13,9,0.2,Same Day
ORD-1239,1/23/2023,South,Home Office,Furniture,568.48,92.45,7,0.2,First Class
ORD-1240,2/8/2023,Central,Corporate,Office Supplies,740.19,111.59,7,0.3,Second Class
ORD-1241,11/19/2023,West,Home Office,Office Supplies,1863.18,617.03,6,0,Standard Class
ORD-1242,8/29/2023,South,Corporate,Office Supplies,1513.05,359.86,7,0.2,Same Day
ORD-1243,5/3/2023,East,Home Office,Furniture,1648.65,258.41,7,0,First Class
ORD-1244,7/31/2023,West,Home Office,Office Supplies,1909.98,404.21,4,0.2,Second Class
ORD-1245,5/4/2023,West,Home Office,Furniture,796.22,122.69,10,0.2,Second Class
ORD-1246,1/16/2023,West,Home Office,Furniture,821.95,96.2,4,0.3,Standard Class
ORD-1247,11/10/2023,East,Home Office,Technology,1423.79,102.85,1,0.2,First Class
ORD-1248,5/9/2023,South,Home Office,Furniture,833.95,147.65,5,0.3,Second Class
ORD-1249,4/21/2023,Central,Corporate,Office Supplies,619.88,101.94,5,0.3,Same Day
ORD-1250,5/4/2023,South,Consumer,Office Supplies,1509.07,236.29,3,0.2,First Class
ORD-1251,1/9/2023,South,Home Office,Office Supplies,1795.73,106.44,3,0.1,First Class
ORD-1252,10/22/2023,Central,Consumer,Office Supplies,959.54,276.66,9,0.1,Standard Class
ORD-1253,3/15/2023,West,Consumer,Technology,1686.07,400.03,1,0.2,Standard Class
ORD-1254,9/23/2023,Central,Consumer,Technology,1773.31,333.22,7,0.2,First Class
ORD-1255,8/12/2023,West,Corporate,Furniture,605.24,35.21,5,0.3,Standard Class
ORD-1256,5/6/2023,East,Home Office,Technology,682.8,173.4,7,0.3,Same Day
ORD-1257,5/25/2023,East,Consumer,Technology,1469.54,485.89,3,0.2,Second Class
ORD-1258,10/5/2023,West,Consumer,Office Supplies,921.85,117.91,9,0,Second Class
ORD-1259,12/15/2023,West,Home Office,Office Supplies,813.24,172.97,7,0.2,Same Day
ORD-1260,10/6/2023,South,Home Office,Furniture,1044.53,231.99,5,0.1,First Class
ORD-1261,9/30/2023,South,Consumer,Technology,379.33,120.49,4,0.2,Same Day
ORD-1262,6/27/2023,West,Corporate,Office Supplies,599.08,119.75,9,0.1,Same Day
ORD-1263,3/8/2023,Central,Consumer,Technology,1636.75,384.6,3,0.2,Standard Class
ORD-1264,12/1/2023,West,Corporate,Office Supplies,1735.74,375.3,1,0.3,Same Day
ORD-1265,9/4/2023,Central,Home Office,Furniture,648.79,129.43,1,0,Same Day
ORD-1266,11/21/2023,East,Consumer,Furniture,1436.71,376.19,4,0.3,First Class
ORD-1267,5/17/2023,West,Consumer,Office Supplies,335.73,92.28,10,0.2,Same Day
ORD-1268,4/13/2023,South,Home Office,Office Supplies,1810.87,624.72,3,0.2,Same Day
ORD-1269,12/7/2023,South,Home Office,Office Supplies,405.16,75.53,1,0.3,Same Day
ORD-1270,8/25/2023,West,Corporate,Technology,456.66,117.75,3,0,Standard Class
ORD-1271,4/13/2023,Central,Corporate,Office Supplies,299.23,88.3,4,0.3,First Class
ORD-1272,6/7/2023,East,Home Office,Office Supplies,1497.47,151.79,4,0.3,Same Day
ORD-1273,11/14/2023,East,Consumer,Technology,390.83,79.22,9,0.3,Standard Class
ORD-1274,4/7/2023,Central,Consumer,Furniture,1314.78,156.95,8,0.1,First Class
ORD-1275,12/27/2023,Central,Home Office,Office Supplies,1681.93,223.95,3,0,Second Class
ORD-1276,5/7/2023,East,Corporate,Technology,1199.49,207.3,10,0.3,Standard Class
ORD-1277,2/7/2023,South,Corporate,Office Supplies,553.3,136.79,7,0.2,Standard Class
ORD-1278,9/28/2023,East,Corporate,Office Supplies,498.96,113.45,4,0.1,Second Class
ORD-1279,12/7/2023,East,Corporate,Technology,482.68,109.74,9,0.2,Second Class
ORD-1280,8/3/2023,East,Consumer,Technology,122.85,15.5,6,0.3,First Class
ORD-1281,4/23/2023,Central,Corporate,Furniture,908.4,230,1,0,Second Class
ORD-1282,2/27/2023,South,Consumer,Technology,599.8,179.61,1,0,First Class
ORD-1283,11/15/2023,Central,Consumer,Furniture,1780.92,417.9,5,0.2,Second Class
ORD-1284,5/6/2023,West,Home Office,Office Supplies,1912.58,391.98,8,0.3,Same Day
ORD-1285,12/17/2023,East,Consumer,Office Supplies,169.97,38.19,4,0.2,First Class
ORD-1286,3/18/2023,Central,Corporate,Office Supplies,593.52,58.18,4,0,Same Day
ORD-1287,6/19/2023,East,Corporate,Office Supplies,1312.51,388.6,1,0.2,Same Day
ORD-1288,2/28/2023,South,Corporate,Technology,538.96,35.42,2,0.3,Same Day
ORD-1289,8/23/2023,West,Corporate,Furniture,1707.77,176.11,10,0.3,First Class
ORD-1290,2/15/2023,South,Consumer,Office Supplies,1274.23,199.03,8,0,First Class
ORD-1291,2/1/2023,Central,Corporate,Technology,1840.43,93.35,7,0.2,Standard Class
ORD-1292,11/5/2023,East,Home Office,Office Supplies,443.06,155.06,3,0.3,Same Day
ORD-1293,8/3/2023,South,Home Office,Office Supplies,1561.01,409.29,7,0.1,Same Day
ORD-1294,11/5/2023,Central,Consumer,Furniture,1445.07,494.73,6,0.2,Standard Class
ORD-1295,10/2/2023,Central,Home Office,Technology,466.4,82.59,8,0.2,Standard Class
ORD-1296,12/25/2023,South,Corporate,Office Supplies,1960.68,253.54,3,0,Second Class
ORD-1297,2/19/2023,West,Consumer,Office Supplies,921.63,100.11,10,0.3,Second Class
ORD-1298,2/22/2023,East,Corporate,Furniture,185.56,19.4,5,0.1,First Class
ORD-1299,2/21/2023,West,Consumer,Office Supplies,642.67,199.01,3,0,Standard Class
ORD-1300,9/15/2023,South,Corporate,Office Supplies,1623.8,329.85,9,0.1,First Class
ORD-1301,11/25/2023,South,Home Office,Furniture,976.91,102.84,9,0.3,Second Class
ORD-1302,11/5/2023,East,Home Office,Technology,384.91,27.97,3,0.2,Second Class
ORD-1303,5/6/2023,South,Corporate,Furniture,100.33,25.64,4,0.2,Same Day
